x,y,z
-13.31,4.779,88.588
-12.792,5.169,88.497
-12.458,5.273,88.437
-12.411,5.414,88.451
-12.078,5.435,88.55
-11.296,6.628,88.842
-11.038,6.903,89.052
-10.643,7.212,89.178
-10.143,7.662,89.372
-9.693,8.05,89.27
-9.131,8.259,89.145
-8.642,8.277,88.841
-8.564,8.049,88.614
-8.001,7.69,88.62
-7.708,7.27,88.923
-7.708,7.27,88.923
-6.844,6.242,89.017
-6.318,5.885,89.131
-5.73,5.591,89.136
-5.121,5.331,88.834
-4.524,5.034,88.464
-4.436,4.873,88.843
-4.05,4.521,89.334
-4.282,4.282,89.695
-4.603,4.188,90.323
-4.993,4.125,90.88
-5.375,4.018,91.236
-5.794,3.849,91.471
-6.346,3.629,91.427
-7.021,3.477,91.255
-7.115,3.319,91.168
-8.721,3.113,91.19
-9.507,2.688,91.549
-10.38,2.473,91.867
-10.939,2.379,91.795
-11.546,2.149,91.432
-12.251,1.756,91.322
-12.744,1.548,90.891
-13.046,1.316,90.3
-13.257,0.854,90.281
-13.207,0.503,89.847
-13.015,0.281,89.427
-12.624,0.231,89.012
-12.273,0.159,88.701
-11.881,0.139,88.476
-11.535,0.01,88.132
-11.287,-0.155,87.671
-11.243,-0.437,87.385
-11.333,-0.697,87.4
-11.339,-1.06,87.331
-11.199,-1.437,87.356
-11.188,-1.867,87.255
-11.178,-2.263,87.074
-11.184,-2.507,86.961
-11.376,-2.795,86.66
-11.663,-2.816,86.917
-11.852,-2.558,87.049
-11.872,-2.198,87.273
-11.648,-1.806,87.526
-11.585,-1.443,87.746
-11.622,-1.023,87.996
-11.66,-0.573,88.22
-11.597,-0.142,88.528
-11.561,0.217,88.505
-11.62,0.776,88.613
-11.589,1.567,88.736
-11.465,1.841,88.607
-11.229,2.205,88.598
-10.905,2.682,88.679
-10.524,2.959,88.751
-10.155,2.899,88.931
-9.689,2.765,89.338
-9.284,2.574,89.586
-8.993,2.279,89.804
-8.89,2.013,89.872
-9.1,1.747,90.205
-9.332,1.629,90.141
-9.524,1.4,89.855
-9.953,1.014,89.492
-10.243,0.679,89.174
-10.381,0.346,88.979
-10.406,0.023,89.013
-10.261,-0.266,89.245
-9.88,-0.678,89.423
-9.496,-0.875,89.719
-9.083,-0.91,89.951
-8.642,-0.789,90.126
-8.29,-0.77,89.935
-8.011,-0.89,90.045
-7.815,-1.12,90.263
-7.805,-1.387,90.563
-8.104,-1.486,90.623
-8.32,-1.402,90.965
-8.679,-1.322,90.915
-9.064,-1.247,91.106
-9.454,-1.128,90.963
-9.924,-0.969,90.956
-10.346,-0.783,90.483
-10.714,-0.402,90.302
-11.02,-0.057,90.117
-11.048,0.125,90.117
-11.146,0.131,90.263
-10.694,0.026,90.498
-10.176,-0.234,90.522
-9.54,-0.541,90.62
-8.939,-0.868,90.479
-8.831,-1.235,90.628
-7.181,-1.56,90.778
-6.381,-1.815,90.623
-6.26,-2.047,90.472
-5.32,-2.093,90.384
-4.815,-1.752,90.422
-4.617,-1.026,90.952
-4.599,-0.181,91.016
-4.532,0.113,91.143
-4.627,0.481,91.124
-4.932,1.11,91.15
-5.281,1.489,91.179
