x,y,z
-1.029,-11.848,90.412
-0.489,-11.431,90.128
-0.052,-11.294,89.583
0.478,-11.213,89.122
1.112,-11.156,88.706
1.473,-11.072,88.507
1.839,-10.846,88.555
2.197,-10.81,88.519
2.727,-10.492,88.582
3.162,-10.386,88.636
3.525,-10.41,88.809
3.75,-10.445,89.008
3.722,-10.565,89.176
3.649,-10.481,89.241
3.755,-10.62,89.379
4.273,-10.916,89.49
4.668,-11.463,89.684
4.962,-12.347,89.857
5.112,-13.143,90.064
5.257,-14.001,90.226
5.461,-14.767,90.303
5.523,-15.202,90.43
5.547,-15.465,90.204
5.743,-15.782,90.056
5.984,-15.755,89.738
6.035,-15.32,89.509
5.702,-14.496,89.526
5.614,-14.193,89.513
5.123,-14.118,89.77
4.256,-13.674,90.138
2.834,-13.193,90.46
2.0,-13.027,90.819
1.553,-13.126,91.082
0.713,-13.066,91.168
-0.151,-13.086,91.273
-0.684,-13.323,91.385
-1.053,-13.717,91.219
-1.457,-14.337,91.064
-1.852,-14.763,90.828
-2.183,-15.063,90.589
-2.285,-15.552,90.515
-2.235,-16.026,90.342
-1.9,-16.146,90.326
-1.501,-16.144,90.522
-1.004,-16.053,90.478
-1.018,-15.897,90.271
-1.503,-15.468,90.104
-2.598,-15.094,90.05
-3.604,-15.044,89.768
-4.473,-14.891,89.51
-4.662,-14.875,89.51
-6.269,-14.432,88.76
-6.986,-13.997,88.737
-8.088,-12.976,88.791
-8.243,-12.9,88.681
-10.328,-10.076,88.589
-10.214,-9.576,88.317
-9.655,-9.597,88.151
-9.34,-9.566,87.913
-8.989,-9.715,87.811
-7.892,-10.338,87.647
-7.061,-10.347,87.425
-6.239,-10.517,87.287
-5.302,-11.039,87.297
-4.47,-11.45,87.176
-3.264,-12.08,87.146
-2.662,-12.195,87.047
-1.696,-12.486,87.098
-0.537,-12.813,87.345
0.193,-12.897,87.759
0.929,-12.925,87.862
1.667,-12.949,87.889
2.471,-13.023,87.851
2.806,-13.038,87.842
2.793,-12.9,87.72
2.489,-12.848,87.525
2.139,-12.767,87.599
1.863,-12.549,87.731
1.232,-12.205,87.855
0.374,-11.396,88.13
-0.732,-10.642,88.507
-1.37,-10.603,88.834
-2.064,-10.636,89.053
-3.211,-10.456,89.137
-3.984,-10.445,89.048
-4.442,-10.558,89.049
-4.387,-10.464,89.06
-4.109,-10.329,89.202
-3.546,-10.344,89.303
-2.818,-10.439,89.561
-2.229,-10.619,89.589
-1.764,-10.682,89.702
-1.764,-11.006,89.901
-0.769,-11.458,89.98
-0.714,-12.242,89.889
0.319,-13.195,89.752
1.093,-14.064,89.638
1.275,-14.968,89.645
2.395,-15.334,89.573
3.193,-15.78,89.634
4.023,-16.213,89.578
4.652,-16.442,89.612
5.316,-16.622,89.55
5.991,-16.492,89.596
6.546,-16.233,89.803
6.844,-15.632,90.136
6.947,-14.901,90.293
6.839,-14.261,90.391
6.519,-13.349,90.446
6.261,-12.851,90.608
5.778,-12.433,90.644
5.105,-12.072,90.66
3.963,-11.701,90.547
3.381,-11.672,90.458
2.706,-11.698,90.475
1.733,-11.804,90.517
1.017,-11.883,90.581
0.58,-11.971,90.644
0.15,-12.156,90.493
0.121,-12.397,90.348
-0.743,-12.393,89.985
-0.68,-12.094,89.585
-0.46,-11.996,89.254
-0.31,-11.969,88.927
0.003,-11.858,88.789
0.354,-11.962,88.735
0.511,-12.408,88.731
0.442,-12.902,88.918
0.405,-13.492,88.98
0.712,-14.023,89.175
1.258,-14.693,89.244
1.899,-15.145,89.285
2.626,-15.239,89.223
3.201,-15.314,89.177
3.287,-14.904,88.986
3.936,-14.262,88.923
3.985,-13.889,88.85
3.727,-13.399,88.867
3.296,-13.015,88.514
2.871,-12.988,87.815
2.495,-13.022,87.776
2.219,-13.205,88.339
1.968,-13.731,88.884
1.925,-14.478,88.981
1.334,-15.223,88.6
0.95,-15.673,88.302
1.1,-15.509,87.342
1.683,-15.159,85.855
2.157,-15.083,84.576
2.644,-15.016,84.453
2.996,-15.073,92.84
3.453,-15.059,94.118
3.897,-14.66,95.583
4.02,-14.081,96.879
3.74,-13.442,97.973
3.61,-13.084,98.966
3.171,-12.842,99.741
2.638,-12.587,100.205
2.071,-12.301,100.583
1.661,-12.02,100.931
1.284,-11.611,100.978
1.224,-11.242,100.768
0.197,-11.118,100.519
-0.812,-10.982,100.3
-0.956,-10.839,99.683
-2.396,-10.726,99.301
-2.833,-10.534,99.169
-3.1,-10.528,99.083
-3.089,-10.499,99.26
-3.242,-10.208,99.13
-3.629,-10.173,99.184
-4.082,-10.663,99.051
-4.125,-11.486,99.167
-4.486,-11.965,99.313
-4.576,-12.741,99.572
-4.573,-13.848,99.532
-4.636,-14.452,99.669
-4.377,-14.56,99.452
