x,y,z
1.723,2.285,89.164
1.532,1.958,89.316
1.147,1.634,89.581
0.556,0.998,89.632
0.048,-0.045,89.391
-0.196,-1.099,89.263
-0.597,-2.08,89.357
-1.459,-3.188,89.594
-2.547,-4.35,89.515
-3.212,-5.272,89.528
-3.305,-6.148,89.535
-3.874,-6.815,89.551
-4.613,-7.261,89.624
-4.613,-7.261,89.624
-4.613,-7.261,89.624
-5.284,-8.285,89.607
-5.093,-8.111,89.62
-4.803,-7.739,89.736
-4.489,-6.969,90.012
-4.549,-6.191,90.199
-4.547,-5.498,90.354
-4.518,-4.453,90.598
-4.248,-3.171,90.764
-4.222,-1.754,90.687
-4.15,-0.586,90.67
-4.06,0.336,90.424
-3.888,1.155,90.033
-3.794,2.165,89.712
-3.854,2.424,89.061
-3.662,2.079,88.785
-3.492,1.23,88.864
-3.412,0.259,89.252
-3.476,-0.246,89.641
-3.577,-0.533,90.138
-3.817,-1.078,90.569
-4.074,-1.678,90.911
-4.428,-2.051,90.901
-4.855,-2.3,90.845
-5.007,-2.654,90.687
-4.929,-3.221,90.7
-4.784,-3.808,90.488
-4.611,-4.354,90.463
-4.352,-4.775,90.494
-3.866,-5.122,90.434
-3.409,-5.379,90.543
-2.911,-5.681,90.593
-2.532,-5.962,90.203
-2.092,-6.217,89.876
-1.754,-6.352,89.584
-1.875,-6.026,89.553
-2.075,-5.586,89.621
-2.26,-5.057,89.605
-2.384,-4.397,89.39
-2.656,-3.502,89.102
-3.124,-2.612,88.969
-3.595,-1.627,88.595
-4.044,-0.061,88.129
-4.151,1.756,87.343
-5.911,3.191,86.102
-6.979,3.677,84.802
-7.919,3.816,83.647
-8.697,3.938,83.371
-9.509,3.911,83.763
-10.356,3.719,84.85
-10.44,3.44,86.069
-11.242,2.972,87.326
-11.248,2.942,88.657
-10.47,2.111,89.51
-10.394,2.111,90.376
-9.665,1.497,90.853
-8.228,1.031,91.475
-6.728,0.777,91.883
-4.896,0.661,92.338
-3.77,0.409,92.853
-3.354,0.159,93.041
-3.29,-0.078,93.13
-2.995,0.153,93.179
-3.176,0.774,92.775
-3.241,1.274,92.268
-3.322,1.613,91.857
-3.447,1.815,91.275
-3.405,1.989,90.66
-3.194,1.998,90.351
-3.456,1.403,90.168
-3.537,0.952,90.428
-4.487,0.836,90.93
-5.444,0.503,91.336
-6.052,0.459,91.651
-6.589,0.351,92.166
-7.461,0.102,92.484
